frame_number,person_center_x,person_center_y,person_velocity,person_intersection,vehicle_center_x,vehicle_center_y,vehicle_velocity,vehicle_intersection
2936.0,519.6,731.2,8.091967,21,651.75,627.61365,5.335558,168
2937.0,528.45764,749.28815,20.140478,28,649.75,623.25,4.800148,198
2938.0,527.45,754.95,5.7508287,61,649.8158,629.4474,6.197737,207
2939.0,523.5714,739.0476,16.368568,158,645.56757,633.4865,5.861909,186
2940.0,528.0,752.4828,14.146253,191,846.6585,635.4878,7.6687865,292
2941.0,526.8,748.2,4.447718,283,850.275,641.1,6.67651,343
2942.0,532.3771,754.9672,8.769211,371,656.86957,631.43475,9.746791,231
2943.0,534.5143,747.4286,7.8357306,360,852.975,627.075,6.56854,289
2944.0,539.53125,760.96875,14.439734,422,857.0455,638.0455,11.701278,216
2945.0,538.7619,758.8095,2.292208,443,860.23254,635.1628,4.2973638,243
2946.0,551.0959,751.274,14.453763,498,853.2,640.26666,8.689425,396
2947.0,549.4426,754.2787,3.4295022,688,866.04254,624.8298,20.080542,510
2948.0,546.84,753.96,2.6220362,868,856.0909,633.6,13.264689,480
2949.0,545.4762,752.9048,1.724401,967,878.0217,637.63043,22.29813,993
2950.0,543.0,756.1731,4.1004148,1056,878.1,632.85,4.781097,891
2951.0,547.3929,750.9107,6.854938,1137,877.5577,633.0,0.56266665,1089
2952.0,544.98303,754.52545,4.3443956,1248,887.7955,627.4773,11.632398,781
2953.0,551.7042,743.91547,12.559706,1237,880.8333,637.7778,12.432677,802
2954.0,537.87274,752.61816,16.341568,1236,886.3421,637.0263,5.5598073,996
2955.0,547.4516,756.7258,10.422448,1290,888.8,633.05,4.6746454,988
2956.0,551.13635,748.5909,8.930554,1319,891.3889,632.6111,2.6258686,1365
2957.0,548.90625,749.53125,2.4202583,1346,897.8936,634.59576,6.8007407,2183
2958.0,556.5,759.9643,12.90401,1382,896.8125,632.7656,2.1256106,2148
2959.0,555.5085,761.0847,1.4961452,1453,906.78,644.52,15.4116,2538
2960.0,566.4878,755.7805,12.193431,1459,905.8,656.3333,11.853876,2930
2961.0,558.45,752.8,8.5726,1525,903.12,647.82,8.925174,3303
2962.0,567.57446,757.21277,10.135493,1633,903.1525,647.6949,0.12928204,3242
2963.0,573.73334,750.13336,9.383482,1732,921.83606,653.7541,19.641497,3319
