frame_number,person_center_x,person_center_y,person_velocity,person_intersection,vehicle_center_x,vehicle_center_y,vehicle_velocity,vehicle_intersection
2649.0,682.86554,838.2353,48.852642,13089,925.59247,537.8529,11.438214,43646
2650.0,631.75,837.4,51.122364,13556,900.87756,532.69293,25.247808,43627
2651.0,586.5,822.8182,47.541485,12875,878.31934,520.10925,25.830652,44279
2652.0,539.2969,823.5,47.20805,11104,758.16724,532.6705,120.806915,45937
2653.0,472.43835,822.73975,66.86284,8249,804.39154,524.2771,46.980156,48605
2654.0,403.25674,836.8581,70.60753,5298,816.5383,532.2883,14.550749,51581
2655.0,344.246,838.97327,59.048637,2853,762.9713,525.5041,53.99492,53724
2656.0,268.85144,820.4057,77.64724,1017,734.65173,539.49896,31.588844,55294
2657.0,220.2931,816.2414,48.736572,64,693.4091,494.99408,60.676502,55907
2732.0,372.2069,666.0,0,61,927.5327,823.31775,16.840073,7925
2733.0,373.54544,668.36365,2.7163386,76,925.7739,821.92175,2.245472,7576
2734.0,371.45456,680.4545,12.270338,81,897.9076,821.9496,27.866348,7897
2735.0,370.05405,688.37836,8.046644,75,888.2578,832.14844,14.040472,7875
2736.0,371.93878,690.30615,2.696038,94,872.90625,828.8906,15.693432,7676
2737.0,379.01785,690.2679,7.0791745,102,854.64404,833.38983,18.808271,7840
2738.0,378.4909,699.0,8.748002,76,838.6015,838.5113,16.840204,7301
2739.0,378.73468,692.0204,6.98387,91,807.86957,835.4783,30.881239,7310
2740.0,379.94116,694.8823,3.1058478,109,801.8797,847.5789,13.502007,7270
2741.0,381.93442,686.9016,8.225864,100,774.38135,844.3475,27.687572,6957
2742.0,385.7561,691.1707,5.729793,68,744.61316,863.365,35.324368,6544
2743.0,385.6,689.6,1.578477,78,1003.125,749.21875,15.14401,7417
2744.0,381.15384,681.38464,9.3413105,37,965.73,756.33,38.065174,8240
2745.0,399.83334,682.8333,18.735596,52,991.5,758.6163,25.871237,9362
2746.0,396.97675,676.67444,6.7891006,43,969.1685,753.0,23.026888,10412
2747.0,399.06668,659.4,17.40038,3,958.0323,756.0645,11.550189,11432
