frame_number,person_center_x,person_center_y,person_velocity,person_intersection_percentage,vehicle_center_x,vehicle_center_y,vehicle_velocity,vehicle_intersection_percentage,violation
2368.0,758.1429,643.5,5.39031,1.76191,990.44354,820.3565,13.27583,10.00285,1
2369.0,759.4,642.4667,1.62732,1.7061,1002.4369,820.7766,12.00077,9.14865,1
2370.0,763.4318,649.2273,7.87156,1.36699,992.72095,819.814,9.76352,8.5285,1
2371.0,771.3461,635.0192,16.26362,1.32654,1012.5952,814.381,20.60349,7.58268,1
2372.0,777.5676,637.2973,6.6254,1.44844,1020.3415,849.46344,35.92748,5.42787,1
2373.0,781.32,627.6,10.39803,1.14553,1042.3954,846.3721,22.2695,4.87716,1
2374.0,793.82605,610.3043,21.34344,0.64249,1042.4685,849.7972,3.42589,4.18078,1
2375.0,796.7778,614.44446,5.08459,1.24113,1065.2325,867.8838,29.07447,2.46687,1
2376.0,799.2692,616.5,3.22995,1.15911,1076.9131,897.6087,31.93758,0.73195,1
2377.0,803.3182,627.0,11.25362,0.63097,1096.5198,874.6974,30.15544,0.60261,1
2378.0,807.45654,641.34784,14.93274,0.75572,1082.0336,899.07385,28.35599,0.47238,1
2409.0,933.5454,637.4318,12.36904,1.19553,796.814,642.76746,17.42668,0.19086,1
2410.0,936.6,641.2364,4.87901,1.20164,793.37134,641.5714,3.64442,0.24108,1
2411.0,934.39655,642.2069,2.4077,1.19098,783.8461,639.1539,9.82727,0.45634,1
2412.0,942.7857,634.5714,11.34367,0.71263,794.6875,642.625,11.3835,0.7769,1
2413.0,938.0,633.1539,4.99123,0.94625,804.08826,639.7059,9.84355,1.60898,1
2414.0,945.75,630.25,8.27617,0.57723,798.7895,627.0,13.76648,1.81222,1
2415.0,946.96155,645.3461,15.14467,0.88912,811.275,632.475,13.63319,2.31706,1
2416.0,950.55554,635.0,10.95259,0.63239,806.7,634.95,5.20159,2.52547,1
2417.0,963.0,636.1579,12.49821,0.47414,817.2,637.92,10.91195,2.64733,1
2418.0,961.8214,635.7857,1.23596,0.57249,791.0625,643.125,26.65074,2.81373,1
2419.0,971.82355,622.94116,16.27959,0.47352,801.8863,639.8182,11.31772,3.11286,1
2420.0,970.0,643.2,20.34076,0.72888,800.8929,640.5536,1.23605,3.41103,1
2421.0,976.57886,627.9474,16.61098,1.00264,794.1875,640.125,6.71907,3.48081,1
2422.0,981.19354,631.1613,5.62353,0.49982,817.9375,637.875,23.85634,4.18122,1
2423.0,982.46155,638.61536,7.56112,0.94951,806.7692,642.8461,12.22467,4.45816,1
2424.0,982.83325,643.0833,4.4834,1.01092,809.0769,649.61536,7.15177,4.51515,1
2425.0,989.3415,632.3415,12.55958,1.16266,817.3696,647.15216,8.65076,4.42314,1
2426.0,984.84375,642.28125,10.91002,0.91577,813.7636,644.56366,4.43884,5.36142,1
2427.0,988.65955,636.19147,7.1865,1.45952,823.5625,653.75,13.43157,6.00822,1
2428.0,993.37506,626.625,10.6655,0.98345,820.95,644.4,9.7081,6.45897,1
2429.0,993.0,643.2,16.57925,1.22856,814.24133,645.4138,6.78479,7.11384,1
2430.0,995.5909,637.36365,6.38559,1.16374,818.129,659.2258,14.34871,7.84308,1
2431.0,996.7143,631.7143,5.75997,1.56872,803.6572,664.02856,15.24799,8.10956,1
2432.0,1016.33325,620.6667,22.51567,1.15789,835.6046,659.8605,32.21826,8.85465,1
2433.0,1009.1429,639.0,19.69296,1.01434,830.38983,657.4068,5.76326,9.61303,1
2434.0,1026.5,626.5,21.3897,0.55398,815.67566,657.32434,14.7144,10.07276,1
2435.0,1026.4138,635.4828,8.9832,0.58651,821.6572,661.3714,7.22199,10.26232,1
2436.0,1028.921,631.8947,4.37725,0.52471,835.74,653.76,16.0081,10.93386,1
2437.0,1035.5,630.4286,6.74036,0.52308,845.13336,659.86664,11.20385,12.4525,1
2438.0,1028.0834,638.75,11.14685,0.6028,833.3182,655.0909,12.74388,13.2231,1
2439.0,1027.683,638.7805,0.40155,0.69083,836.91675,655.0833,3.59852,14.1984,1
2440.0,1031.1356,632.8475,6.86453,0.82673,814.1162,661.3953,23.65799,14.66288,1
2441.0,1033.2128,640.0851,7.52978,0.89733,858.97675,670.18604,45.71366,15.89681,1
2442.0,1033.8823,629.05884,11.04656,0.92098,852.0612,663.0612,9.92913,17.13073,1
2443.0,1038.25,636.0,8.201,0.3387,837.4773,661.4318,14.67466,19.45713,0
2444.0,1044.3158,630.0,8.53193,0.35583,826.2308,671.3077,14.96719,20.47071,0
2686.0,898.46515,637.4651,14.96945,0.0376,751.16675,671.58325,12.06644,4.97967,1
2687.0,896.58,635.4,2.79606,0.54696,756.5769,679.5,9.58876,5.25725,1
2688.0,891.0,641.325,8.13892,0.44456,757.44,672.0,7.5495,6.40621,1
2689.0,892.1162,640.67444,1.29202,0.55501,769.66675,684.0,17.1316,7.15585,1
2690.0,888.9512,639.95123,3.24661,0.58289,765.1304,693.5218,10.54708,7.75054,1
2691.0,889.74194,640.9355,1.26253,0.52309,775.88574,691.2,11.00305,8.60664,1
2692.0,883.8,622.88574,19.00263,0.56046,778.0588,689.4706,2.77728,8.58378,1
2693.0,878.25,638.625,16.68912,0.83576,786.4,706.8,19.23236,8.4883,1
2694.0,873.11115,629.1111,10.8131,0.64575,792.5714,714.0,9.48294,8.68672,1
2695.0,870.7242,628.5517,2.45163,0.85611,794.4194,708.29034,6.00126,9.54737,1
2696.0,861.075,614.4,17.1282,1.29294,803.1923,726.5769,20.28208,8.5681,1
2697.0,855.3428,631.2857,17.83211,0.71038,811.2353,723.4412,8.63263,9.13333,1
2698.0,861.9091,625.63635,8.66206,0.42206,808.9412,734.3823,11.17909,8.29297,1
2699.0,856.8947,631.5789,7.7755,0.31132,829.66675,736.2222,20.80703,7.5794,1
2700.0,852.1622,629.5946,5.13171,0.3409,699.4138,686.1724,8.00743,6.67437,1
2707.0,814.6,635.8,13.25232,0.15482,727.7,708.1,7.01339,9.06839,1
2708.0,815.5,614.5,21.319,0.79915,730.33325,713.16675,5.71015,10.73345,0
